room_name,building_floor,room_label,campus_code,capacity,min_capacity,room_property_code,room_property_name,home_department,using_department,note,in_use
444,3,301-N1(PHONG MAY AO),CS1,40,2,TH,Thực hành tin học,Cơ khí và Công nghệ,,Phòng ảo dùng để xếp TKB,1
426,3,301-N4,CS1,90,5,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
147,3,302 (PHONG MAY),CS1,50,3,TH,Thực hành tin học,Cơ khí và Công nghệ,,302 (Phòng máy),1
432,3,302-N4,CS1,40,2,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
398,3,303 (PHONG AO),CS1,40,2,LT,Lý thuyết,Công nghệ thông tin,Công nghệ thông tin,,1
148,3,303 (PHONG MAY),CS1,40,2,TH,Thực hành tin học,Cơ khí và Công nghệ,,303 (Phòng máy),1
451,3,303-N4,CS1,40,2,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
149,3,304 (PHONG MAY),CS1,45,2,TH,Thực hành tin học,Phòng Đào Tạo,,304 (Phòng máy),1
150,3,305 (PHONG MAY),CS1,60,3,TH,Thực hành tin học,Cơ khí và Công nghệ,,305 (Phòng máy),1
427,3,306-N4,CS1,90,5,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
269,4,401-N1,CS1,60,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
303,4,401-N2,CS1,35,2,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,,1
428,4,401-N4,CS1,40,2,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
152,4,402 (PHONG CO DIEN TU),CS1,50,3,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,402 (Phòng cơ điện tử),1
270,4,402-N1,CS1,100,5,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
304,4,402-N2,CS1,35,2,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,,1
429,4,402-N4,CS1,90,5,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
